RDB$VIEW_BLR,RDB$VIEW_SOURCE,RDB$DESCRIPTION,RDB$RELATION_ID,RDB$SYSTEM_FLAG,RDB$DBKEY_LENGTH,RDB$FORMAT,RDB$FIELD_ID,RDB$RELATION_NAME,RDB$SECURITY_CLASS,RDB$EXTERNAL_FILE,RDB$RUNTIME,RDB$EXTERNAL_DESCRIPTION,RDB$OWNER_NAME,RDB$DEFAULT_CLASS,RDB$FLAGS,RDB$RELATION_TYPE,RDB$SQL_SECURITY
,,,0,1,8,0,4,RDB$PAGES                                                      ,SQL$1                                                          ,,,,SYSDBA                                                         ,SQL$DEFAULT1                                                   ,,0,
,,,1,1,8,0,6,RDB$DATABASE                                                   ,SQL$2                                                          ,,,,SYSDBA                                                         ,SQL$DEFAULT2                                                   ,,0,
,,,2,1,8,0,30,RDB$FIELDS                                                     ,SQL$3                                                          ,,b'\x00\x00\x00\x01RDB$FIELD_NAME\x00\x01\x00\x01RDB$QUERY_NAME\x00\x02\x00\x01RDB$VALIDATION_BLR\x00\x03\x00\x01RDB$VALIDATION_SOURCE\x00\x04\x00\x01RDB$COMPUTED_BLR\x00\x05\x00\x01RDB$COMPUTED_SOURCE\x00\x06\x00\x01RDB$DEFAULT_VALUE\x00\x07\x00\x01RDB$DEFAULT_SOURCE\x00\x08\x00\x01RDB$FIELD_LENGTH\x00\t\x00\x01RDB$FIELD_SCALE\x00\n\x00\x01RDB$FIELD_TYPE\x00\x0b\x00\x01RDB$FIELD_SUB_TYPE\x00\x0c\x00\x01RDB$MISSING_VALUE\x00\r\x00\x01RDB$MISSING_SOURCE\x00\x0e\x00\x01RDB$DESCRIPTION\x00\x0f\x00\x01RDB$SYSTEM_FLAG\x15\x05;=\x18\x00\x00\x00L\x00\x10\x00\x01RDB$QUERY_HEADER\x00\x11\x00\x01RDB$SEGMENT_LENGTH\x00\x12\x00\x01RDB$EDIT_STRING\x00\x13\x00\x01RDB$EXTERNAL_LENGTH\x00\x14\x00\x01RDB$EXTERNAL_SCALE\x00\x15\x00\x01RDB$EXTERNAL_TYPE\x00\x16\x00\x01RDB$DIMENSIONS\x00\x17\x00\x01RDB$NULL_FLAG\x00\x18\x00\x01RDB$CHARACTER_LENGTH\x00\x19\x00\x01RDB$COLLATION_ID\x00\x1a\x00\x01RDB$CHARACTER_SET_ID\x00\x1b\x00\x01RDB$FIELD_PRECISION\x00\x1c\x00\x01RDB$SECURITY_CLASS\x00\x1d\x00\x01RDB$OWNER_NAME\tRDB$TRIGGER_36',,SYSDBA                                                         ,SQL$DEFAULT3                                                   ,,0,
,,,3,1,8,0,4,RDB$INDEX_SEGMENTS                                             ,SQL$4                                                          ,,b'\x00\x00\x00\x01RDB$INDEX_NAME\x00\x01\x00\x01RDB$FIELD_NAME\x00\x02\x00\x01RDB$FIELD_POSITION\x00\x03\x00\x01RDB$STATISTICS\tRDB$TRIGGER_17\tRDB$TRIGGER_18',,SYSDBA                                                         ,SQL$DEFAULT4                                                   ,,0,
,,,4,1,8,1,15,RDB$INDICES                                                    ,SQL$5                                                          ,,b'\x00\x00\x00\x01RDB$INDEX_NAME\x00\x01\x00\x01RDB$RELATION_NAME\x00\x02\x00\x01RDB$INDEX_ID\x00\x03\x00\x01RDB$UNIQUE_FLAG\x00\x04\x00\x01RDB$DESCRIPTION\x00\x05\x00\x01RDB$SEGMENT_COUNT\x00\x06\x00\x01RDB$INDEX_INACTIVE\x00\x07\x00\x01RDB$INDEX_TYPE\x00\x08\x00\x01RDB$FOREIGN_KEY\x00\t\x00\x01RDB$SYSTEM_FLAG\x15\x05;=\x18\x00\x00\x00L\x00\n\x00\x01RDB$EXPRESSION_BLR\x00\x0b\x00\x01RDB$EXPRESSION_SOURCE\x00\x0c\x00\x01RDB$STATISTICS\x00\r\x00\x01RDB$CONDITION_BLR\x00\x0e\x00\x01RDB$CONDITION_SOURCE\tRDB$TRIGGER_20\tRDB$TRIGGER_19',,SYSDBA                                                         ,SQL$DEFAULT5                                                   ,,0,
,,,5,1,8,0,21,RDB$RELATION_FIELDS                                            ,SQL$6                                                          ,,b'\x00\x00\x00\x01RDB$FIELD_NAME\x00\x01\x00\x01RDB$RELATION_NAME\x00\x02\x00\x01RDB$FIELD_SOURCE\x00\x03\x00\x01RDB$QUERY_NAME\x00\x04\x00\x01RDB$BASE_FIELD\x00\x05\x00\x01RDB$EDIT_STRING\x00\x06\x00\x01RDB$FIELD_POSITION\x00\x07\x00\x01RDB$QUERY_HEADER\x00\x08\x00\x01RDB$UPDATE_FLAG\x00\t\x00\x01RDB$FIELD_ID\x00\n\x00\x01RDB$VIEW_CONTEXT\x00\x0b\x00\x01RDB$DESCRIPTION\x00\x0c\x00\x01RDB$DEFAULT_VALUE\x00\r\x00\x01RDB$SYSTEM_FLAG\x15\x05;=\x18\x00\x00\x00L\x00\x0e\x00\x01RDB$SECURITY_CLASS\x00\x0f\x00\x01RDB$COMPLEX_NAME\x00\x10\x00\x01RDB$NULL_FLAG\x00\x11\x00\x01RDB$DEFAULT_SOURCE\x00\x12\x00\x01RDB$COLLATION_ID\x00\x13\x00\x01RDB$GENERATOR_NAME\x00\x14\x00\x01RDB$IDENTITY_TYPE\tRDB$TRIGGER_23\tRDB$TRIGGER_24\tRDB$TRIGGER_27',,SYSDBA                                                         ,SQL$DEFAULT6                                                   ,,0,
,,,6,1,8,0,18,RDB$RELATIONS                                                  ,SQL$7                                                          ,,,,SYSDBA                                                         ,SQL$DEFAULT7                                                   ,,0,
,,,7,1,8,0,6,RDB$VIEW_RELATIONS                                             ,SQL$8                                                          ,,,,SYSDBA                                                         ,SQL$DEFAULT8                                                   ,,0,
,,,8,1,8,0,3,RDB$FORMATS                                                    ,SQL$9                                                          ,,,,SYSDBA                                                         ,SQL$DEFAULT9                                                   ,,0,
,,,9,1,8,0,3,RDB$SECURITY_CLASSES                                           ,SQL$10                                                         ,,,,SYSDBA                                                         ,SQL$DEFAULT10                                                  ,,0,
